City,Cloudiness,Humidity,Lat,Lon,Temperature,Wind
Goianesia,0,89,-15.32,-49.12,74.35,4.68
Evensk,0,100,61.92,159.24,4.1,7.7
Mehamn,75,53,71.03,27.85,26.6,5.82
Mzimba,12,86,-11.9,33.6,62.15,3.78
Puerto Lempira,40,69,15.27,-83.77,82.4,5.82
Galle,1,34,29.74,-97.91,62.46,4.56
Abengourou,20,95,6.73,-3.5,73.36,2.21
Kokoda,76,73,-8.88,147.74,71.15,0.31
Petropavlovka,48,77,50.61,105.32,28.22,5.91
Camocim,76,85,-2.9,-40.84,79.7,6.46
Vila Franca do Campo,75,87,37.72,-25.43,56.88,5.82
Kedrovyy,40,85,56.17,91.82,19.4,8.95
Sukhobezvodnoye,92,96,57.05,44.89,30.88,3.22
Rock Sound,32,99,24.9,-76.2,77.68,3.44
Damietta,0,82,31.42,31.81,59.0,8.05
La Cruz,92,82,23.92,-106.89,71.01,3.0
Portland,1,22,45.52,-122.67,66.7,17.22
Waipawa,12,69,-39.94,176.59,69.01,6.24
Bontang,24,100,0.12,117.47,79.88,9.26
Tautira,40,66,-17.73,-149.15,88.25,4.7
Westport,88,84,53.8,-9.52,42.17,7.0
Phalombe,24,94,-15.81,35.65,66.79,2.66
Jiuquan,8,62,39.73,98.49,19.54,5.68
Moose Factory,1,39,51.26,-80.61,12.2,11.41
Wum,8,94,6.39,10.08,63.19,3.0
Hun,68,89,50.34,4.87,36.16,9.17
Malkangiri,24,100,18.35,81.9,60.26,5.57
Hobyo,76,81,5.35,48.53,79.97,10.83
Kiunga,64,91,-6.12,141.3,77.86,2.89
Dawson Creek,1,45,55.76,-120.23,48.2,18.34
Gorom-Gorom,48,30,14.45,-0.24,79.88,5.68
Khandyga,0,48,62.65,135.58,-3.15,3.11
Adre,0,19,13.47,22.2,68.41,12.5
Lufilufi,75,74,-13.87,-171.6,86.0,6.93
Binzhou,68,35,37.38,117.96,59.0,1.99
Mitsamiouli,88,97,-11.38,43.28,82.67,10.04
Kavieng,44,100,-2.57,150.8,82.4,3.67
Krasnoye,0,93,44.87,39.46,36.59,4.47
Quatre Cocos,40,88,-20.21,57.76,77.0,7.47
Axim,36,98,4.87,-2.24,83.26,5.79
Benghazi,0,100,32.12,20.07,60.98,4.45
Teacapan,92,57,22.54,-105.74,75.38,3.0
Bondo,12,54,3.81,23.69,76.91,3.56
Chunoyar,56,69,57.45,97.32,22.46,6.24
Tretten,76,94,61.31,10.3,28.76,5.01
Awbari,0,30,26.59,12.77,53.65,9.71
Havelock,1,58,34.88,-76.9,51.71,10.29
